"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2021-22","Fall","ENSC","3124","Soils Laboratory","Mott","2.86","60","0","0","0","0","20","0","0","0","0","0","20","0","5","84840","  1"
"2021-22","Fall","ENSC","3124","Soils Laboratory","Mott","2.68","40","20","0","0","0","0","0","20","0","0","0","20","0","5","84843","  1"
"2021-22","Fall","ENSC","3124","Soils Laboratory","Mott","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","84844","  1"
"2021-22","Fall","IDS","3234","TS: Studio Magazine","Pritchett","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","86114","  1"
"2021-22","Fall","ECE","3274","Elctrnc Circuits Lab II","Cooper","3.82","40","60","0","0","0","0","0","0","0","0","0","0","0","5","83465","  1"
"2021-22","Fall","UH","2814","TS:Entrepreneurship","Haines","3.14","60","20","0","0","0","0","0","0","0","0","0","20","0","5","90783","  1"
"2021-22","Fall","MUS","3035","Advanced Class Piano","Tu","3.26","40","0","20","20","0","0","20","0","0","0","0","0","0","5","88837","  1"
"2021-22","Fall","MUS","3045","Advanced Ear Training","Martinkus","2.14","20","20","0","20","0","0","0","0","0","0","0","40","0","5","88840","  1"
"2021-22","Fall","MUS","3314","Instrumental Ensemble Music","Hutchins","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88866","  1"
"2021-22","Fall","TA","3014","Theatre Production Lab","Russo","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90544","  1"
"2021-22","Fall","TA","3014","Theatre Production Lab","Stein","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90545","  1"
"2021-22","Fall","TA","3014","Theatre Production Lab","Stein","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90549","  1"
"2021-22","Fall","TA","3014","Theatre Production Lab","Stein","3.88","60","40","0","0","0","0","0","0","0","0","0","0","0","5","90553","  1"
"2021-22","Spring","DASC","4664","Translating Dairy Science","Cockrum","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","22189","  1"
"2021-22","Spring","UAP","5424","TS: Public Transport Netwrk","Cowell","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","21872","  1"
"2021-22","Spring","UAP","5424","TS: Public Transport Netwrk","Provo","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","21872","  1"
"2021-22","Spring","UAP","5424","TS: Public Transport Netwrk","Sanchez","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","21872","  1"
"2021-22","Spring","UAP","5424","TS: Public Transport Netwrk","Thompson","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","21872","  1"
"2021-22","Spring","UAP","5424","TS: Public Transport Netwrk","Wernstedt","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","21872","  1"
"2021-22","Spring","NSEG","5944","Nuclear Eng Graduate Seminar","Hin","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","22683","  1"
"2021-22","Spring","GBCB","5004","Seminar in GBCB","Mukhopadhyay","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","15749","  1"
"2021-22","Spring","HD","5964","FW: MFT Practicum","Case Pease","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","16098","  1"
"2021-22","Spring","MUS","3314","Instrumental Ensemble Music","Irrera","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","18073","  1"
"2021-22","Spring","MUS","3314","Instrumental Ensemble Music","Thomas","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","18083","  1"
"2021-22","Spring","TA","3014","Theatre Production Lab","Stein","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","19803","  1"
"2021-22","Spring","TA","3014","Theatre Production Lab","Stein","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","19804","  1"
"2021-22","Spring","TA","3014","Theatre Production Lab","Russo","3.2","80","0","0","0","0","0","0","0","0","0","0","20","0","5","19805","  1"
"2021-22","Spring","TA","3014","Theatre Production Lab","Stein","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","19812","  1"
"2021-22","Spring","TA","3014","Theatre Production Lab","Stein","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","19813","  1"
"2021-22","Spring","MUS","2244","Class Applied Woodwinds","Parrish","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","21604","  1"
"2021-22","Spring","BIOL","3104","Cell Molecular Biol Laboratory","Voshell","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","11680","  1"
"2021-22","Spring","BIOL","6404","Topics In Vertebrate Biology","Sewall","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","11733","  1"
"2021-22","Spring","MATH","2644","Mathematics Tutoring","Silber","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","22008","  1"
"2021-22","Spring","FIW","4974","Independent Study","Kelly","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","15461","  1"
"2022-23","Fall","AAEC","4994","Undergraduate Research","Alwang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","80086","  1"
"2022-23","Fall","CSES","3124","Soils Laboratory","Possinger","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","83508","  1"
"2022-23","Fall","ENSC","3124","Soils Laboratory","Possinger","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","85069","  1"
"2022-23","Fall","PPWS","5214","Diseases of Crop Plants","Baudoin","3.42","0","60","20","0","20","0","0","0","0","0","0","0","0","5","89219","  1"
"2022-23","Fall","SPES","5004","Graduate Seminar Plant Env Sci","Beers","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","92596","  1"
"2022-23","Fall","IDS","3234","TS: Studio Collective","Pritchett","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","86382","  1"
"2022-23","Fall","MUS","3314","Instrumental Ensemble Music","Irrera","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88257","  1"
"2022-23","Fall","TA","3014","Theatre Production Lab","Copenhaver","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90026","  1"
"2022-23","Fall","TA","3014","Theatre Production Lab","Copenhaver","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90028","  1"
"2022-23","Fall","TA","3014","Theatre Production Lab","Copenhaver","2.66","40","0","0","0","0","40","0","0","0","0","20","0","0","5","90029","  1"
"2022-23","Fall","TA","3014","Theatre Production Lab","Holland","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90038","  1"
"2022-23","Fall","TA","3014","Theatre Production Lab","Copenhaver","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90039","  1"
"2022-23","Fall","MSE","4424","Materials Laboratory II","Suchicital","2.6","20","0","20","0","0","0","40","20","0","0","0","0","0","5","88122","  1"
"2022-23","Fall","GBCB","5004","Seminar in GBCB","Mukhopadhyay","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","85671","  1"
"2022-23","Fall","GRAD","5134","TS:Contemp Rsch Disaster Resil","Weiss","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","85947","  1"
"2022-23","Fall","CMST","3044","Oral Comm Center Practicum","Sowder","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","83047","  1"
"2022-23","Fall","EDCI","5844","STEM Education Seminar","Wells","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","84410","  1"
"2022-23","Fall","UAP","5114","TS: Cost-Benefit Analysis","Wernstedt","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","91856","  1"
"2022-23","Fall","CHEM","3625","Physical Chemistry Laboratory","Orler","2.6","0","0","0","60","0","0","40","0","0","0","0","0","0","5","82851","  1"
"2022-23","Fall","COS","2164","Introduction to Scieneering","Watford","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","83172","  1"
"2022-23","Fall","MATH","2644","Mathematics Tutoring","Silber","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","87184","  1"
"2022-23","Fall","PHYS","2215","General Physics Laboratory","Merritt","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","88815","  1"
"2022-23","Fall","PHYS","2215","General Physics Laboratory","Merritt","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88821","  1"
"2021-22","Fall","CSES","3124","Soils Laboratory","Mott","3.83","83.3","0","0","16.7","0","0","0","0","0","0","0","0","0","6","83334","  1"
"2021-22","Fall","ENT","5004","Graduate Seminar","Couvillon","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","84867","  1"
"2021-22","Fall","HNFE","5394","Prof Pract Nutrition Dietetics","Larson-Meyer","3.85","50","50","0","0","0","0","0","0","0","0","0","0","0","6","85935","  1"
"2021-22","Fall","ENGE","2974","Independent Study","Gray","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","84423","  1"
"2021-22","Fall","MSE","2014","Materials Eng Transition","Burgoyne","3.83","83.3","0","0","16.7","0","0","0","0","0","0","0","0","0","6","88667","  1"
"2021-22","Fall","AOE","2994","Undergraduate Research","Shinpaugh","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","91502","  1"
"2021-22","Fall","GBCB","5004","Seminar in GBCB","Mukhopadhyay","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","85381","  1"
"2021-22","Fall","UH","2834","TS: Collective Intelligence","Keyel","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","90789","  1"
"2021-22","Fall","EDCI","5844","STEM Education Seminar","Wells","3.95","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","84189","  1"
"2021-22","Fall","CHEM","4124","Instrumental Analysis Lab","Tissue","3.22","33.3","0","16.7","33.3","0","0","16.7","0","0","0","0","0","0","6","82714","  1"
"2021-22","Spring","BCHM","5004","Seminar in Biochemistry","Mukhopadhyay","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","11522","  1"
"2021-22","Spring","DASC","5004","Seminar","Winston","3.43","33.3","0","33.3","33.3","0","0","0","0","0","0","0","0","0","6","13586","  1"
"2021-22","Spring","HNFE","5394","Prof Pract Nutrition Dietetics","Larson-Meyer","3.9","66.7","33.3","0","0","0","0","0","0","0","0","0","0","0","6","16269","  1"
"2021-22","Spring","BCHM","2984","SS: Biochemical Techniques Lab","Hite","3.62","50","16.7","0","33.3","0","0","0","0","0","0","0","0","1","6","21725","  1"
"2021-22","Spring","IDS","3224","TS: Study Abroad Research","Sullivan","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","16414","  1"
"2021-22","Spring","ECE","3354","Power Laboratory","Yu","1.95","0","0","0","16.7","16.7","16.7","16.7","16.7","0","0","0","16.7","0","6","13668","  1"
"2021-22","Spring","UH","2744","TS: Iteration Cont Improve","Cherbaka","3.73","66.7","16.7","0","0","16.7","0","0","0","0","0","0","0","0","6","21774","  1"
"2021-22","Spring","UH","2744","TS: Advanced Manufacturing","Cherbaka","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","21776","  1"
"2021-22","Spring","MUS","2234","Class Applied Strings","Wilkens-Reed","3.05","50","0","16.7","16.7","0","0","0","0","0","0","0","16.7","0","6","18022","  1"
"2021-22","Spring","MUS","2524","Individual Applied Keyboard","Masters","3.95","80","20","0","0","0","0","0","0","0","0","0","0","0","5","18031","  1"
"2021-22","Spring","MUS","2534","Individual Applied Violin","Irrera","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","18033","  1"
"2021-22","Spring","MUS","3314","Instrumental Ensemble Music","Hutchins","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","18078","  1"
"2021-22","Spring","TA","3014","Theatre Production Lab","Stein","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","19815","  1"
"2021-22","Spring","BIOL","1116","Principles of Biol Lab","Lee","3.9","66.7","33.3","0","0","0","0","0","0","0","0","0","0","0","6","11630","  1"
"2022-23","Fall","ALCE","5814","Topics in Ag Leader & Commu Ed","Friedel","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","80288","  1"
"2022-23","Fall","AT","0724","Landscape Skills Practicum","Martin","3.88","83.3","0","16.7","0","0","0","0","0","0","0","0","0","0","6","91315","  1"
"2022-23","Fall","CSES","5124","Topics in Soil Genesis","Galbraith","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","91842","  1"
"2022-23","Fall","DASC","1464","Dairy Cattle Handling","Knowlton","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","92598","  1"
"2022-23","Fall","MUS","2045","Sightsinging Laboratory","Loeffert","2.62","16.7","33.3","0","0","0","16.7","16.7","0","0","0","0","16.7","1","6","88188","  1"
"2022-23","Fall","MUS","2534","Individual Applied Violin","Irrera","3.95","80","20","0","0","0","0","0","0","0","0","0","0","0","5","88206","  1"
"2022-23","Fall","MUS","3314","Instrumental Ensemble Music","Berrios Rodriguez","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","88242","  1"
"2022-23","Fall","MUS","3314","Instrumental Ensemble Music","Bukvic","2.78","33.3","16.7","0","16.7","0","0","16.7","0","0","0","0","16.7","1","6","88253","  1"
"2022-23","Fall","ACIS","1104","Careers in ACIS","Compton","3.33","83.3","0","0","0","0","0","0","0","0","0","0","16.7","0","6","91554","  1"
"2022-23","Fall","AOE","4205","Exper for Ocean Vehicle Design","Alexander","3.33","16.7","16.7","16.7","50","0","0","0","0","0","0","0","0","0","6","80463","  1"
"2022-23","Fall","MSE","3064","Mech Behavior Matls Lab","Galitz","3.05","0","33.3","33.3","0","0","16.7","16.7","0","0","0","0","0","0","6","88076","  1"
"2022-23","Fall","UAP","5424","Metropolitan Planning Topics","Tacey","3.95","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","90151","  1"
"2022-23","Fall","CHEM","1065","Gen Chemistry Lab for Majors","Deck","3.45","50","16.7","0","16.7","0","0","16.7","0","0","0","0","0","0","6","82770","  1"
"2022-23","Fall","CHEM","4014","Survey of Chemical Literature","Schulz","3","66.7","0","0","0","0","0","16.7","0","0","0","0","16.7","0","6","82856","  1"
"2022-23","Fall","CHEM","4124","Instrumental Analysis Lab","Tissue","3.05","16.7","0","0","66.7","0","16.7","0","0","0","0","0","0","0","6","82857","  1"
"2022-23","Fall","CHEM","4124","Instrumental Analysis Lab","Tissue","3.05","50","0","16.7","16.7","0","0","0","0","0","0","0","16.7","0","6","82858","  1"
"2022-23","Fall","COS","3015","App Science Leadership","Rowell","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","83176","  1"
"2022-23","Fall","GEOS","6104","AT: Geophysics Seminar","King","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","91723","  1"
"2022-23","Fall","FIW","6004","TS: Herp Conservation","Haas","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","85414","  1"
"2021-22","Fall","ALCE","5814","Topics in Ag Leader & Commu Ed","Drape","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","80281","  1"
"2021-22","Fall","CSES","3124","Soils Laboratory","Mott","3.37","28.6","14.3","42.9","0","0","0","14.3","0","0","0","0","0","0","7","83332","  1"
"2021-22","Fall","CSES","3124","Soils Laboratory","Mott","3.47","57.1","0","14.3","14.3","0","0","14.3","0","0","0","0","0","0","7","83333","  1"
"2021-22","Fall","UAP","5424","TS:Climate Change and the City","Buehler","3.69","14.3","71.4","14.3","0","0","0","0","0","0","0","0","0","0","7","92671","  1"
"2021-22","Fall","UAP","5424","TS:Climate Change and the City","Capers","3.69","14.3","71.4","14.3","0","0","0","0","0","0","0","0","0","0","7","92671","  1"
"2021-22","Fall","UAP","5424","TS:Climate Change and the City","Datz","3.69","14.3","71.4","14.3","0","0","0","0","0","0","0","0","0","0","7","92671","  1"
"2021-22","Fall","UAP","5424","TS:Climate Change and the City","Mastran","3.69","14.3","71.4","14.3","0","0","0","0","0","0","0","0","0","0","7","92671","  1"
"2021-22","Fall","UAP","5424","TS:Climate Change and the City","Misra","3.69","14.3","71.4","14.3","0","0","0","0","0","0","0","0","0","0","7","92671","  1"
"2021-22","Fall","UAP","5424","TS:Climate Change and the City","Sanchez","3.69","14.3","71.4","14.3","0","0","0","0","0","0","0","0","0","0","7","92671","  1"
"2021-22","Fall","UAP","5424","TS:Climate Change and the City","Tacey","3.69","14.3","71.4","14.3","0","0","0","0","0","0","0","0","0","0","7","92671","  1"
"2021-22","Fall","AOE","4205","Exper for Ocean Vehicle Design","Alexander","3.67","28.6","42.9","28.6","0","0","0","0","0","0","0","0","0","0","7","80433","  1"
"2021-22","Fall","ECE","3354","Power Laboratory","Cooper","2.04","14.3","0","0","14.3","0","14.3","14.3","14.3","14.3","0","0","14.3","0","7","83470","  1"
"2021-22","Fall","ECE","4664","Analog/Dig Comm Lab","Buehrer","3.96","85.7","14.3","0","0","0","0","0","0","0","0","0","0","0","7","83508","  1"
"2021-22","Fall","GRAD","5124","Grad Library Research Skills","Goldbeck DeBose","3.86","85.7","0","0","14.3","0","0","0","0","0","0","0","0","0","7","85646","  1"
"2021-22","Fall","MUS","2534","Individual Applied Violin","Irrera","3.71","80","0","0","20","0","0","0","0","0","0","0","0","0","5","88816","  1"
"2021-22","Fall","MUS","2644","Individual Applied Trumpet","Crafton","3.8","83.3","0","16.7","0","0","0","0","0","0","0","0","0","0","6","88826","  1"
"2021-22","Fall","MUS","3035","Advanced Class Piano","Tu","3.06","0","14.3","28.6","14.3","42.9","0","0","0","0","0","0","0","0","7","88838","  1"
"2021-22","Fall","MUS","3314","Instrumental Ensemble Music","Irrera","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","91559","  1"
"2021-22","Fall","HD","4994","UR: Children and Technology","Choi","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","92576","  1"
"2021-22","Fall","BMSP","4974","Independent Study","Gillian","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","81883","  1"
"2021-22","Fall","FIW","4974","Independent Study","Hamed","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","85155","  1"
"2021-22","Fall","SBIO","1004","Explorations in SBIO","Kline","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","90146","  1"
"2021-22","Fall","FREC","4004","Professional Skills in Nat Res","Bolding","3.29","71.4","0","0","14.3","0","0","0","0","0","0","0","14.3","0","7","92096","  1"
"2021-22","Spring","IDS","3204","Topics in Prof Development","Gipe","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","22204","  1"
